"TRI Facility ID","Facility Name","Address","Chemical Name","Industry","Prior Year Release *","Current Year Release *","Percent Change","Pollution Prevention Information (Activity Codes/Text/[Reduction])","P2 Report"
"40222FRDMT3001C","FORD MOTOR CO KENTUCKY TRUCK PLANT (FORD MOTOR CO)","3001 CHAMBERLAIN LN, LOUISVILLE,KY 40241","Benzo[g,h,i]perylene","336112: Light Truck and Utility Vehicle Manufacturing","0","0","0%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"40222FRDMT3001C","FORD MOTOR CO KENTUCKY TRUCK PLANT (FORD MOTOR CO)","3001 CHAMBERLAIN LN, LOUISVILLE,KY 40241","Polycyclic aromatic compounds","336112: Light Truck and Utility Vehicle Manufacturing","0","0","0%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"48184FRDMT38303","FORD MOTOR CO MICHIGAN ASSEMBLY PLANT (FORD MOTOR CO)","38303 MICHIGAN AVE, WAYNE,MI 48184","Benzo[g,h,i]perylene","336112: Light Truck and Utility Vehicle Manufacturing","0","0","0%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"64119FRDMTHWY69","FORD MOTOR COMPANY--KANSAS CITY ASSEMBLY PLANT (FORD MOTOR CO)","8121 E U.S. HWY 69, CLAYCOMO,MO 64119","Benzo[g,h,i]perylene","336112: Light Truck and Utility Vehicle Manufacturing","0","0","0%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"64119FRDMTHWY69","FORD MOTOR COMPANY--KANSAS CITY ASSEMBLY PLANT (FORD MOTOR CO)","8121 E U.S. HWY 69, CLAYCOMO,MO 64119","Polycyclic aromatic compounds","336112: Light Truck and Utility Vehicle Manufacturing","0","0","0%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"47670TYTMT4000T","TOYOTA MOTOR MANUFACTURING INDIANA INC (TOYOTA MOTOR ENGINEERING & MANUFACTURING N.A. INC)","4000 TULIP TREE DR, PRINCETON,IN 47670","Manganese compounds","336112: Light Truck and Utility Vehicle Manufacturing","48,743.00","49,645.00","1.85%","Source Reduction: W49: Other raw material modifications[-0-4%] - Purchased steel closer to exact size to reduce trimmings",""
"29456DMLRC851PA","MERCEDES-BENZ VANS LLC (NA)","8501 PALMETTO COMMERCE PKWY, LADSON,SC 29456","Methanol","336112: Light Truck and Utility Vehicle Manufacturing","1,870.00","1,910.00","2.14%","Source Reduction: W58: Other process modifications",""
"29456DMLRC851PA","MERCEDES-BENZ VANS LLC (NA)","8501 PALMETTO COMMERCE PKWY, LADSON,SC 29456","Polycyclic aromatic compounds","336112: Light Truck and Utility Vehicle Manufacturing","1,460.20","1,560.10","6.84%","Source Reduction: W58: Other process modifications",""
"40222FRDMT3001C","FORD MOTOR CO KENTUCKY TRUCK PLANT (FORD MOTOR CO)","3001 CHAMBERLAIN LN, LOUISVILLE,KY 40241","Methanol","336112: Light Truck and Utility Vehicle Manufacturing","2,200.00","2,400.00","9.09%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"64119FRDMTHWY69","FORD MOTOR COMPANY--KANSAS CITY ASSEMBLY PLANT (FORD MOTOR CO)","8121 E U.S. HWY 69, CLAYCOMO,MO 64119","Toluene","336112: Light Truck and Utility Vehicle Manufacturing","7,404.00","8,203.00","10.79%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"47670TYTMT4000T","TOYOTA MOTOR MANUFACTURING INDIANA INC (TOYOTA MOTOR ENGINEERING & MANUFACTURING N.A. INC)","4000 TULIP TREE DR, PRINCETON,IN 47670","Toluene","336112: Light Truck and Utility Vehicle Manufacturing","3,767.00","4,352.00","15.53%","Other Environmental Practices: Waste Treatment - waste sent to fuel blend for WTE use",""
"48184FRDMT38303","FORD MOTOR CO MICHIGAN ASSEMBLY PLANT (FORD MOTOR CO)","38303 MICHIGAN AVE, WAYNE,MI 48184","Toluene","336112: Light Truck and Utility Vehicle Manufacturing","1,900.00","2,200.00","15.79%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"40222FRDMT3001C","FORD MOTOR CO KENTUCKY TRUCK PLANT (FORD MOTOR CO)","3001 CHAMBERLAIN LN, LOUISVILLE,KY 40241","Naphthalene","336112: Light Truck and Utility Vehicle Manufacturing","2,100.00","2,500.00","19.05%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"64119FRDMTHWY69","FORD MOTOR COMPANY--KANSAS CITY ASSEMBLY PLANT (FORD MOTOR CO)","8121 E U.S. HWY 69, CLAYCOMO,MO 64119","Manganese compounds","336112: Light Truck and Utility Vehicle Manufacturing","3,331.00","4,438.00","33.23%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"44012FRDMT650MI","FORD MOTOR  CO - OHIO ASSEMBLY PLANT (FORD MOTOR CO)","650 MILLER RD, AVON LAKE,OH 44012","Certain glycol ethers","336112: Light Truck and Utility Vehicle Manufacturing","420.00","586.00","39.52%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"48121FRDM23001M","FORD MOTOR CO DEARBORN TRUCK PLANT (FORD MOTOR CO)","3001 MILLER RD, DEARBORN,MI 48120","Toluene","336112: Light Truck and Utility Vehicle Manufacturing","2,100.00","3,100.00","47.62%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"40222FRDMT3001C","FORD MOTOR CO KENTUCKY TRUCK PLANT (FORD MOTOR CO)","3001 CHAMBERLAIN LN, LOUISVILLE,KY 40241","Xylene (mixed isomers)","336112: Light Truck and Utility Vehicle Manufacturing","6,500.00","9,900.00","52.31%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"40222FRDMT3001C","FORD MOTOR CO KENTUCKY TRUCK PLANT (FORD MOTOR CO)","3001 CHAMBERLAIN LN, LOUISVILLE,KY 40241","Ethylbenzene","336112: Light Truck and Utility Vehicle Manufacturing","1,300.00","2,000.00","53.85%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"29456DMLRC851PA","MERCEDES-BENZ VANS LLC (NA)","8501 PALMETTO COMMERCE PKWY, LADSON,SC 29456","Certain glycol ethers","336112: Light Truck and Utility Vehicle Manufacturing","776.06","1,763.04","127.18%","Source Reduction: W58: Other process modifications",""
"47670TYTMT4000T","TOYOTA MOTOR MANUFACTURING INDIANA INC (TOYOTA MOTOR ENGINEERING & MANUFACTURING N.A. INC)","4000 TULIP TREE DR, PRINCETON,IN 47670","Cumene","336112: Light Truck and Utility Vehicle Manufacturing","0","5,147.00","∞","Other Environmental Practices: Waste Treatment - WTE for solvents",""
"29456DMLRC851PA","MERCEDES-BENZ VANS LLC (NA)","8501 PALMETTO COMMERCE PKWY, LADSON,SC 29456","Xylene (mixed isomers)","336112: Light Truck and Utility Vehicle Manufacturing","0","2,936.00","∞","Source Reduction: W58: Other process modifications",""
"60633FRDMT12600","FORD MOTOR CO CHICAGO ASSEMBLY (FORD MOTOR CO)","12600 S TORRENCE AVE, CHICAGO,IL 60633","Toluene","336111: Automobile Manufacturing","18,000.00","5,000.00","-72.22%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"48134MZDMT1MAZD","FLAT ROCK ASSEMBLY PLANT (FORD MOTOR CO)","1 INTERNATIONAL DR, FLAT ROCK,MI 48134","Toluene","336111: Automobile Manufacturing","1,600.00","580.00","-63.75%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"48170TWRTM43955","TOWER AUTOMOTIVE PLYMOUTH (TOWER AUTOMOTIVE HOLDINGS 1 LLC)","43955 PLYMOUTH OAKS BLVD, PLYMOUTH,MI 48170","Manganese","336111: Automobile Manufacturing","14,641.70","6,062.60","-58.59%","Source Reduction: Ways P2 Was Incorporated in Original Process Design - All MN is part of an article component (steel) in solid form as such it is recycled as a solid component of the article (steel)",""
"45373FPMRC211CR","F&P AMERICA MANUFACTURING INC (NA)","2101 CORPORATE DR, TROY,OH 45373","Manganese","336111: Automobile Manufacturing","2,409.27","1,164.80","-51.65%","Other Environmental Practices: Recycling - All metal not retained in the manufacturing process is recycled.Other Environmental Practices: General Environmental Management - ISO 14001 continuous improvement approach helps our organization to reduce waste and increase the recycling of this material.Barriers to P2: The capital expenditure required to reduce source reduction of fugitive and stack emitted Manganese would be cost prohibitive for our business.Other Environmental Practices: Waste Treatment - Finished products are cleaned. Process wastewater is treated on site before it is released to POTW.",""
"48134MZDMT1MAZD","FLAT ROCK ASSEMBLY PLANT (FORD MOTOR CO)","1 INTERNATIONAL DR, FLAT ROCK,MI 48134","Ethylene glycol","336111: Automobile Manufacturing","130.00","63.00","-51.54%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"60633FRDMT12600","FORD MOTOR CO CHICAGO ASSEMBLY (FORD MOTOR CO)","12600 S TORRENCE AVE, CHICAGO,IL 60633","Methyl isobutyl ketone","336111: Automobile Manufacturing","39,000.00","22,000.00","-43.59%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"48134MZDMT1MAZD","FLAT ROCK ASSEMBLY PLANT (FORD MOTOR CO)","1 INTERNATIONAL DR, FLAT ROCK,MI 48134","Methyl isobutyl ketone","336111: Automobile Manufacturing","3,700.00","2,200.00","-40.54%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"48134MZDMT1MAZD","FLAT ROCK ASSEMBLY PLANT (FORD MOTOR CO)","1 INTERNATIONAL DR, FLAT ROCK,MI 48134","Ethylbenzene","336111: Automobile Manufacturing","3,000.00","1,800.00","-40%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"2947WVLVCR181VL","VOLVO CAR USA LLC (VOLVO CAR N.A. LLC)","1801 VOLVO CAR DRIVE, RIDGEVILLE,SC 29472","Certain glycol ethers","336111: Automobile Manufacturing","34,734.00","21,567.96","-37.91%","Source Reduction: All coatings utilized at this facility are HAP-free; and all primers and basecoats are water-based coatings.",""
"48134MZDMT1MAZD","FLAT ROCK ASSEMBLY PLANT (FORD MOTOR CO)","1 INTERNATIONAL DR, FLAT ROCK,MI 48134","Xylene (mixed isomers)","336111: Automobile Manufacturing","13,000.00","8,200.00","-36.92%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"48134MZDMT1MAZD","FLAT ROCK ASSEMBLY PLANT (FORD MOTOR CO)","1 INTERNATIONAL DR, FLAT ROCK,MI 48134","Lead","336111: Automobile Manufacturing","8.70","6.00","-31.03%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"48134MZDMT1MAZD","FLAT ROCK ASSEMBLY PLANT (FORD MOTOR CO)","1 INTERNATIONAL DR, FLAT ROCK,MI 48134","Benzene","336111: Automobile Manufacturing","10.00","7.00","-30%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"60633FRDMT12600","FORD MOTOR CO CHICAGO ASSEMBLY (FORD MOTOR CO)","12600 S TORRENCE AVE, CHICAGO,IL 60633","Xylene (mixed isomers)","336111: Automobile Manufacturing","76,000.00","56,000.00","-26.32%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"3596WPLSMN43AIR","AP PLASMAN (NA)","403 AIRPORT RD W, FORT PAYNE,AL 35968","Toluene","336111: Automobile Manufacturing","12,050.00","9,180.00","-23.82%","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or procedures",""
"60633FRDMT12600","FORD MOTOR CO CHICAGO ASSEMBLY (FORD MOTOR CO)","12600 S TORRENCE AVE, CHICAGO,IL 60633","Ethylbenzene","336111: Automobile Manufacturing","13,000.00","10,000.00","-23.08%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"36105HYNDM7HYUN","HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (NA)","700 HYUNDAI BLVD, MONTGOMERY,AL 36105","Ethylbenzene","336111: Automobile Manufacturing","174.85","139.87","-20.01%","Other Environmental Practices: General Environmental Management - ISO 14001 Certified Environmental Management System",""
"36105HYNDM7HYUN","HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (NA)","700 HYUNDAI BLVD, MONTGOMERY,AL 36105","Benzene","336111: Automobile Manufacturing","70.12","56.09","-20.01%","Other Environmental Practices: General Environmental Management - ISO 14001 Certified Environmental Management System",""
"36105HYNDM7HYUN","HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (NA)","700 HYUNDAI BLVD, MONTGOMERY,AL 36105","Certain glycol ethers","336111: Automobile Manufacturing","53,204.80","42,563.84","-20%","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or procedures  Other Environmental Practices: General Environmental Management - ISO 14001 Certified Environmental Management SystemSource Reduction: Ways P2 Was Incorporated in Original Process Design - Paint Shop Color Blocking - running vehicles that use the same paint colors, instead of frequently changing colors for consecutive vehicles. Because certain glycol ethers are used in many of our high-volume paints, this color blocking method reduces the amount of excess paint used when the paint robot cleans/purges the lines before applying the next color and thus reduces the amounts of certain glycol ethers used.Source Reduction: Methods for Identifying Pollution Prevention Opportunities - Inventory analysis, regular inspections, and internal audits",""
"36105HYNDM7HYUN","HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (NA)","700 HYUNDAI BLVD, MONTGOMERY,AL 36105","Toluene","336111: Automobile Manufacturing","4,714.67","3,771.73","-20%","Other Environmental Practices: General Environmental Management - ISO 14001 Certified Environmental Management System",""
"36105HYNDM7HYUN","HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (NA)","700 HYUNDAI BLVD, MONTGOMERY,AL 36105","Xylene (mixed isomers)","336111: Automobile Manufacturing","1,721.74","1,377.40","-20%","Other Environmental Practices: General Environmental Management - ISO 14001 Certified Environmental Management System",""
"36105HYNDM7HYUN","HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (NA)","700 HYUNDAI BLVD, MONTGOMERY,AL 36105","Manganese compounds","336111: Automobile Manufacturing","1,768.57","1,436.89","-18.75%","Other Environmental Practices: General Environmental Management - ISO 14001 Certified Environmental Management System",""
"36105HYNDM7HYUN","HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (NA)","700 HYUNDAI BLVD, MONTGOMERY,AL 36105","Nickel compounds","336111: Automobile Manufacturing","3,014.66","2,474.68","-17.91%","Other Environmental Practices: General Environmental Management - ISO 14001 Certified Environmental Management System",""
"36105HYNDM7HYUN","HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (NA)","700 HYUNDAI BLVD, MONTGOMERY,AL 36105","Methanol","336111: Automobile Manufacturing","2,163.83","1,783.07","-17.6%","Source Reduction: W13: Improved maintenance scheduling, recordkeeping, or procedures  Other Environmental Practices: General Environmental Management - ISO 14001 Certified Environmental Management SystemSource Reduction: Methods for Identifying Pollution Prevention Opportunities - Inventory analysis, regular inspections, and internal auditsSource Reduction: Ways P2 Was Incorporated in Original Process Design - Paint Shop Color Blocking - running vehicles that use the same paint colors, instead of frequently changing colors for consecutive vehicles. Because methanol is used in many of our high-volume paints, this color blocking method reduces the amount of excess paint used when the paint robot cleans/purges the lines before applying the next color and thus reduces the amount of methanol used.",""
"36105HYNDM7HYUN","HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (NA)","700 HYUNDAI BLVD, MONTGOMERY,AL 36105","Ethylene glycol","336111: Automobile Manufacturing","815.93","673.63","-17.44%","Other Environmental Practices: General Environmental Management - ISO 14001 Certified Environmental Management System",""
"60633FRDMT12600","FORD MOTOR CO CHICAGO ASSEMBLY (FORD MOTOR CO)","12600 S TORRENCE AVE, CHICAGO,IL 60633","Lead","336111: Automobile Manufacturing",".60",".50","-16.67%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"48134MZDMT1MAZD","FLAT ROCK ASSEMBLY PLANT (FORD MOTOR CO)","1 INTERNATIONAL DR, FLAT ROCK,MI 48134","Methanol","336111: Automobile Manufacturing","820.00","690.00","-15.85%","Other Environmental Practices: Ford Motor Company has a formal written Environmental Policy focused on protecting human health and the environment. The Company has committed to the International Chamber of Commerce Principles for Environmental Management and is a member of the World Business Council for Sustainable Development (WBCSD) and the Coalition for Environmentally Responsible Economies (CERES). Ford Motor Company also issues an annual Sustainability Report, which follows the Global Reporting Initiative (GRI) Guidelines for sustainability reporting. Ford is committed to pollution prevention. All manufacturing facilities worldwide have been third-party certified to the ISO 14001 standard.",""
"2947WVLVCR181VL","VOLVO CAR USA LLC (VOLVO CAR N.A. LLC)","1801 VOLVO CAR DRIVE, RIDGEVILLE,SC 29472","Xylene (mixed isomers)","336111: Automobile Manufacturing","61.00","61.00","0%","Other Environmental Practices: Energy Recovery - All waste containing this chemical is disposed in a manner which recovers its inherent energy.",""
"47371JYTCN555IN","FCC (INDIANA) INC (NA)","555 INDUSTRIAL PARK RD, PORTLAND,IN 47371","Manganese","336111: Automobile Manufacturing","5.00","5.00","0%","Other Environmental Practices: Recycling - All manganese at our facility is in very small amounts in our steel alloys (most are barely above 1%).  We perform activities such as pressing, lathing, and small amounts of grinding.  We go through numerous steel coils and pieces thus making the small amounts add up to a reportable quantity.  All steel scrap is recycled, thus we reported that off site transfer.",""
"2947WVLVCR181VL","VOLVO CAR USA LLC (VOLVO CAR N.A. LLC)","1801 VOLVO CAR DRIVE, RIDGEVILLE,SC 29472","Ethylene glycol","336111: Automobile Manufacturing",".25",".25","0%","Other Environmental Practices: Energy Recovery - All waste containing this chemical is disposed in a manner to recover its energy content.",""
