OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CA,USGS California Water Science Center,USGS-381330121320401,DELTA RMP NORT-007,Stream,,18040012,,,,,38.22486389000000,-121.5343833000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,5,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-381423121322401,DELTA RMP SACR-018,Stream,,18020163,,,,,38.23965556000000,-121.5399944000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,5,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-381513121284701,DELTA RMP NORT-006,Stream,,18040012,,,,,38.25355000000000,-121.4797917000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,0,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,077,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-381612121283901,DELTA RMP NORT-010,Stream,,18040012,,,,,38.26998610000000,-121.4774500000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,6,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-381627121351901,DELTA RMP SACR-017,Stream,,18020163,,,,,38.27415278000000,-121.5885917000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,9,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-381700121190001,005N006E16C001M,Well,,18040013,,,,,38.28752778000000,-121.3289722000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,40,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,Central Valley aquifer system,,,19990615,575,ft,602,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-381956121053401,006N008E34E001M,Well,,18040013,,,,,38.33271930000000,-121.0948885000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,265,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,Central Valley aquifer system,Valley Springs Formation,,19711216,520,ft,520,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-382113121383501,TOE DRAIN NR WIDGEON RD NR COURTLAND CA,Stream,,18020163,,,,,38.35347220000000,-121.6429722000000,24000,1,seconds,Interpolated from MAP.,NAD83,10,feet,2.5,feet,Interpolated from topographic map.,NAVD88,US,06,113,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-382400121560001,007N001W35M001M,Well,,18020163,,,,,38.40777778000000,-121.9478333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,105,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,095,Central Valley aquifer system,,,19920201,1780,ft,1810,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-382804121254901,007N005E09R001M,Well,,18020163,,,,,38.46777778000000,-121.4302778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,23,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,Central Valley aquifer system,,,19640901,201,ft,318,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-382952121234401,008N005E35Q001M,Well,,18020163,,,,,38.49777778000000,-121.3955556000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,42,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,Central Valley aquifer system,,,19671130,270,ft,272,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-383046121270201,008N005E29Q001M,Well,,18020163,,,,,38.51277778000000,-121.4516389000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,29,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,Central Valley aquifer system,,,19560101,278,ft,309,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-383121121575301,008N001W22L002M,Well,,18020162,,,,,38.52191667000000,-121.9647222000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,132,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,113,Central Valley aquifer system,,,19780601,270,ft,405,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-383155121314101,SACRAMENTO R A SHERWOOD HARBOR NR W SACRAMENTO CA,Stream,,18020163,,,,,38.53207220000000,-121.5280333000000,24000,.01,seconds,Interpolated from MAP.,NAD83,10,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,067,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-383155121452001,008N002E21B002M,Well,,18020162,,,,,38.53194444000000,-121.7555556000000,2400,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,58,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,095,Central Valley aquifer system,Alluvial Fan Deposits,,19521219,1450,ft,1450,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-383205121310901,DELTA RMP SACR-015,Stream,,18020163,,,,,38.53481389000000,-121.5192472000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,8,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-383300121120001,008N007E09K001M,Well,,18020163,,,,,38.56119444000000,-121.2108333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,14,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,067,Central Valley aquifer system,,,1956,296,ft,296,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-384000121520001,010N001E33L002M,Well,,18020163,,,,,38.67058330000000,-121.8713610000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,133,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,113,Central Valley aquifer system,,,19620531,395,ft,416,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-384039121423401,CACHE C SETTLING BASIN OUTFLOW AT SW CORNER,Stream,,18020116,,,,,38.67750000000000,-121.7094444000000,24000,1,seconds,Interpolated from MAP.,NAD83,30,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,06,113,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-384100121210001,010N006E30G001M,Well,,18020111,,,,,38.69416667000000,-121.3600278000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,120,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,067,Central Valley aquifer system,,,19760220,540,ft,554,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-384224121261401,010N005E21K001M,Well,,18020111,,,,,38.70647220000000,-121.4384722000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,67,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,067,Central Valley aquifer system,Merten Formation (Pliocene-Miocene),,19650901,520,ft,570,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-384413121163801,010N006E12E001M,Well,,18020111,,,,,38.73694444000000,-121.2772222000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,169,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,061,Central Valley aquifer system,,,19580101,303,ft,304,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-385300121340001,012N004E07Q001M,Well,,18020161,,,,,38.89638889000000,-121.5698333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,25,feet,5,feet,Interpolated from topographic map.,NGVD29,US,06,101,Central Valley aquifer system,,,20010919,84,ft,104,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-385852123420501,013N017W24D001M,Well,,18010108,,,,,38.98113889000000,-123.7032222000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,45,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,045,Other aquifers,Marine Terrace Deposits,,19670410,55.0,ft,55.0,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-390100121070001,014N008E32F001M,Well,,18020126,,,,,39.02166667000000,-121.1105556000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1358,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,057,,,,19941114,300,ft,300,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-390100121170001,013N006E02D002M,Well,,18020126,,,,,39.01075000000000,-121.2815000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,429,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,061,,,,20040812,300,ft,300,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-390500121180001,014N006E09C001M,Well,,18020126,,,,,39.08400000000000,-121.3132500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,399,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,115,,,,19970623,160,ft,160,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-390916121115901,015N007E16G001M,Well,,18020126,,,,,39.15397776000000,-121.2022320000000,24000,1,seconds,Interpolated from MAP.,NAD83,1315,feet,10,feet,Interpolated from topographic map.,NGVD29,US,06,057,Other aquifers,,,19790312,205,ft,205,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-391600120570001,016N009E03G001M,Well,,18020125,,,,,39.27963889000000,-120.9526389000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3581,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,057,,,,,200,ft,200,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-392200121150001,018N006E36L001M,Well,,18020125,,,,,39.37327778000000,-121.2542222000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1555,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,115,,,,,205,ft,205,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-392700121150001,018N006E01C001M,Well,,18020125,,,,,39.45213889000000,-121.2485000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2401,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,115,,,,19990413,100,ft,100,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-394400121340001,022N004E30L001M,Well,,18020158,,,,,39.73358330000000,-121.5743056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1686,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,007,Pacific Northwest volcanic-rock aquifers,,,19861110,325,ft,325,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-395200121460001,023N002E08B001M,Well,,18020157,,,,,39.86966667000000,-121.7792778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1522,feet,10,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,007,Pacific Northwest volcanic-rock aquifers,,,19870310,730,ft,740,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-395300121390001,023N003E05C001M,Well,,18020158,,,,,39.88563889000000,-121.6665833000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2599,feet,20,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,007,Pacific Northwest volcanic-rock aquifers,,,19890101,930,ft,930,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-400400121330001,026N004E30H001M,Well,,18020158,,,,,40.07894444000000,-121.5605556000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4321,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,007,Pacific Northwest volcanic-rock aquifers,,,19971027,210,ft,210,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-400800120080002,027N016E35Q001M,Well,,18080003,,,,,40.14497220000000,-120.1424167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4123,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,035,Pacific Northwest basin-fill aquifers,,,,545,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-401700121140001,028N007E07Q001M,Well,,18020121,,,,,40.29391667000000,-121.2391389000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4525,feet,10,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,063,Pacific Northwest basin-fill aquifers,,,19800101,371,ft,371,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-402200120150001,029N015E14P001M,Well,,18080003,,,,,40.36852778000000,-120.2624444000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4031,feet,2.5,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,035,Pacific Northwest basin-fill aquifers,,,19890113,300,ft,355,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-402300120370001,029N012E03L001M,Well,,18080003,,,,,40.39911110000000,-120.6177778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4144,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,035,Pacific Northwest basin-fill aquifers,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-403100121560001,031N001W25D001M,Well,,18020154,,,,,40.51791667000000,-121.9333610000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2585,feet,20,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,089,Pacific Northwest volcanic-rock aquifers,,,19871014,232,ft,232,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-403233124040801,002N001E21G002H,Well,,18010105,,,,,40.54291667000000,-124.0697500000000,62500,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,146,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,California Coastal Basin aquifers,,,19650710,50.0,ft,50,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-403416124084901,002N001W11G005H,Well,,18010105,,,,,40.57125000000000,-124.1471110000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,50,feet,10,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,California Coastal Basin aquifers,,,19951010,115,ft,128,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-403421124155801,002N002W11FS01H,Spring,,18010105,,,,,40.57269444000000,-124.2662500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,93,feet,20,feet,Interpolated from topographic map.,NAVD88,US,06,023,California Coastal Basin aquifers,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-403515124150301,002N002W01E001H,Well,,18010105,,,,,40.58777778000000,-124.2519167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,63,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,California Coastal Basin aquifers,,,19580101,168,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-403544124131501,003N001W31J001H,Well,,18010105,,,,,40.59575000000000,-124.2210556000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,37,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,California Coastal Basin aquifers,,,,50,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-403614124104201,003N001W33A001H,Well,,18010105,,,,,40.60411110000000,-124.1785000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,39,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,California Coastal Basin aquifers,,,199006,65,ft,90,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-404421124104101,004N001W10N001H,Well,,18010102,,,,,40.73927778000000,-124.1781667000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,56,feet,15,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,California Coastal Basin aquifers,,,,62,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-404436124115701,004N001W08J001H,Well,,18010102,,,,,40.74333330000000,-124.1993333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,38,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,California Coastal Basin aquifers,,,19880624,380,ft,458,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-404800121300001,034N004E15M001M,Well,,18020003,,,,,40.80255556000000,-121.5164722000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3452,feet,20,feet,Interpolated from topographic map.,NGVD29,US,06,089,Pacific Northwest volcanic-rock aquifers,,,,290,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-405150123582701,006N002E32G001H,Well,,18010102,,,,,40.86388889000000,-123.9742500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,115,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,California Coastal Basin aquifers,,,19870724,225,ft,225,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-405200122150001,035N003W19L001M,Well,,18020004,,,,,40.87280556000000,-122.2538056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1416,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,089,Other aquifers,,,20060522,227,ft,227,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-405352124070901,006N001E18N001H,Well,,18010102,,,,,40.89794444000000,-124.1193056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,10,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,California Coastal Basin aquifers,,,,200,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-405600123370001,007N005E29R001H,Well,,18010211,,,,,40.94441667000000,-123.6324722000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,457,feet,40,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,023,Other aquifers,,,,44,ft,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-410800120160001,038N015E21P001M,Well,,18020002,,,,,41.13819444000000,-120.2812500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6262,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,035,Pacific Northwest volcanic-rock aquifers,,,20071017,230,ft,230,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-410900122170001,038N004W14L001M,Well,,18020005,,,,,41.15008330000000,-122.2971110000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2050,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,089,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-411400122150001,039N004W13JS01M,Spring,,18020005,,,,,41.23680556000000,-122.2706110000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2690,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,093,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-411800122120001,040N004W14JS01M,Spring,,18020005,,,,,41.31305556000000,-122.2690278000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4461,feet,20,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,093,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-411900122070001,040N003W13AS01M,Spring,,18020004,,,,,41.31930556000000,-122.1368056000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4526,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,093,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-412600120520001,042N010E30N001M,Well,,18020002,,,,,41.44522220000000,-120.8693333000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4314,feet,5,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,049,Pacific Northwest basin-fill aquifers,,,,220,ft,220,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-413100122220001,043N005W36G001M,Well,,18010207,,,,,41.53133330000000,-122.3670000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2841,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,093,Pacific Northwest basin-fill aquifers,,,19680421,309,ft,322,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-413200120100001,042N016E05L001M,Well,,18080001,,,,,41.53361110000000,-120.1766389000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4662,feet,10,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,049,Pacific Northwest basin-fill aquifers,,,19720904,353,ft,504,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-413400123320001,014N006E32KS01H,Spring,,18010209,,,,,41.56733330000000,-123.5416110000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1060,feet,40,feet,Interpolated from topographic map.,NGVD29,US,06,093,,,,1980,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-413430124040001,014N001E28K001H,Well,,18010209,,,,,41.57519444000000,-124.0668889000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,27,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,015,California Coastal Basin aquifers,,,19970213,85,ft,85,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-414000122490001,044N009W12K001M,Well,,18010208,,,,,41.67569444000000,-122.8294722000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2989,feet,33,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,093,Other aquifers,,,198809,80,ft,120,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-414100122380001,044N007W03B001M,Well,,18010207,,,,,41.69763889000000,-122.6375833000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2741,feet,10,feet,Interpolated from Digital Elevation Model,NGVD29,US,06,093,Pacific Northwest basin-fill aquifers,,,19660622,120,ft,120,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-415100123530001,017N002E24AS01H,Spring,,18010101,,,,,41.85755556000000,-123.8894722000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,720,feet,40,feet,Interpolated from topographic map.,NGVD29,US,06,015,,,,,,,,,NWIS
USGS-CA,USGS California Water Science Center,USGS-415200121220001,047N005E27R004M,Well,,18010204,,,,,41.88147220000000,-121.3804167000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4090,feet,7.5,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,049,Pacific Northwest basin-fill aquifers,,,19970212,325,ft,325,ft,NWIS
USGS-CA,USGS California Water Science Center,USGS-415332124104201,017N001W04J001H,Well,,18010101,,,,,41.89205729000000,-124.1795279000000,24000,1,seconds,Interpolated from MAP.,NAD83,13,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,06,015,California Coastal Basin aquifers,,,19560101,35.0,ft,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06711565,"SOUTH PLATTE RIVER AT ENGLEWOOD, CO.",Stream,,10190002,3391,sq mi,,,39.66498738000000,-105.0041490000000,,1,minutes,Interpolated from MAP.,NAD83,5250,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,005,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06713500,"CHERRY CREEK AT DENVER, CO.",Stream,,10190003,410,sq mi,,,39.74248685000000,-104.9999817000000,,1,minutes,Interpolated from MAP.,NAD83,5180.48,feet,10,feet,Interpolated from topographic map.,NGVD29,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714000,"SOUTH PLATTE RIVER AT DENVER, CO.",Stream,,10190003,3866,sq mi,,,39.75989720000000,-105.0036861000000,24000,1,minutes,Interpolated from Digital MAP.,NAD83,5175,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,08,031,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06714215,"SOUTH PLATTE R AT 64TH AVE. COMMERCE CITY, CO.",Stream,,10190003,3895,sq mi,,,39.81220846000000,-104.9583129000000,,5,seconds,Interpolated from MAP.,NAD83,5105.00,feet,15,feet,Unknown.,NGVD29,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06720500,"SOUTH PLATTE RIVER AT HENDERSON, CO",Stream,,10190003,4768,sq mi,,,39.92192936000000,-104.8688640000000,24000,1,minutes,Interpolated from MAP.,NAD83,5001.25,feet,10,feet,Level or other surveyed method.,NAVD88,US,08,001,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-06754000,"SOUTH PLATTE RIVER NEAR KERSEY, CO",Stream,,10190003,9661,sq mi,,,40.41192530000000,-104.5627366000000,24000,1,minutes,Interpolated from MAP.,NAD83,4578.02,feet,10,feet,Level or other surveyed method.,NAVD88,US,08,123,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07103700,"FOUNTAIN CREEK NEAR COLORADO SPRINGS, CO.",Stream,,11020003,102,sq mi,,,38.85471357000000,-104.8780314000000,,5,seconds,Interpolated from MAP.,NAD83,6110.00,feet,15,feet,Unknown.,NGVD29,US,08,041,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-07103707,"FOUNTAIN CREEK BL 8TH ST., AT COLO. SPRINGS, CO.",Stream,,11020003,119,sq mi,,,38.82943667000000,-104.8396969000000,,.1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,08,041,,,,,,,,,NWIS
